C_ANT,C_VIG,C_MAD,C_NMAD,C_REG,NOM_REG,C_DEPEND,DEPEN,PERTEN,TIPO,AMBITO,URGENCIA,CERTIFICA,DEPEN_A,NIVEL,NOMBRE,C_COM,NOM_COM,VIA,NUMERO,DIRECCION,FONO,F_INICIO,F_REAPER,SAPU,F_CAMBIO,TIPO_CAMB,LATITUD,LONGITUD,PRESTADOR,ESTADO,NIVEL_COM,MODALIDAD
03-219,103219,No Aplica,No Aplica,2,Región De Antofagasta,2,SEREMI De Antofagasta,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Privado,Terciario,Hospital del Cobre Salvador Allende,2201,Calama,Avenida,689,Chorrillos,552320112,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-22.453692,-68.907985,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
04-100,104100,No Aplica,No Aplica,3,Región De Atacama,4,Servicio de Salud Atacama,Perteneciente,Hospital ,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Terciario,Hospital San José del Carmen (Copiapó),3101,Copiapó,Calle,1320,Los Carrera,522465600,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-27.373352,-70.322127,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
04-101,104101,No Aplica,No Aplica,3,Región De Atacama,4,Servicio de Salud Atacama,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),3201,Chañaral,Avenida,1000,Arturo Prat,522465550,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-26.347153,-70.617306,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
04-102,104102,No Aplica,No Aplica,3,Región De Atacama,4,Servicio de Salud Atacama,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Dr. Florencio Vargas (Diego de Almagro),3202,Diego de Almagro,Calle,2200,Juan Martínez,522465500,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-26.392456,-70.052331,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
04-103,104103,No Aplica,No Aplica,3,Región De Atacama,4,Servicio de Salud Atacama,Perteneciente,Hospital,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Pendiente,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),3301,Vallenar,Avenida,392,Huasco,512331500,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-28.574949,-70.782512,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
04-104,104104,No Aplica,No Aplica,3,Región De Atacama,4,Servicio de Salud Atacama,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Dr. Manuel Magalhaes Medling (Huasco),3304,Huasco,Calle,105,Canteras,512331200,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-28.463524,-71.216511,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
05-100,105100,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital San Juan de Dios (La Serena),4101,La Serena,Calle,916,Balmaceda,512333378,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-29.908191,-71.249732,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
05-101,105101,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital San Pablo (Coquimbo),4102,Coquimbo,Avenida,S/N,Videla,512336715,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-29.968488,-71.337017,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
05-102,105102,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Dr. Antonio Tirado Lanas de Ovalle,4301,Ovalle,Calle,7,Ariztía Poniente,532663194,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-30.599614,-71.200031,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
05-103,105103,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Terciario,Hospital Dr. Humberto Elorza Cortés (Illapel),4201,Illapel,Calle,512,Independencia,532663867,39814,No Aplica,No Aplica,No Aplica,Cambio Nombre Hospital,-31.63473,-71.173672,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
05-104,105104,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Salamanca,4204,Salamanca,Calle,113,Matilde Salamanca,532662960,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-31.776383,-70.962957,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
05-105,105105,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San Juan de Dios (Combarbalá),4302,Combarbalá,Calle,650,Comercio,532663464,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-31.175494,-71.007933,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
05-106,105106,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Dr. José Arraño (Andacollo),4103,Andacollo,Calle,2,Urmeneta,512331096,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-30.227567,-71.085488,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
05-107,105107,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San Juan de Dios (Vicuña),4106,Vicuña,Calle,591,Arturo Prat,512333176,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-30.029346,-70.712492,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
05-108,105108,No Aplica,No Aplica,4,Región De Coquimbo,5,Servicio de Salud Coquimbo,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San Pedro (Los Vilos),4203,Los Vilos,Calle,400,Arauco,532663626,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-31.915244,-71.512688,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
06-100,106100,No Aplica,No Aplica,5,Región De Valparaíso,6,Servicio de Salud Valparaíso San Antonio,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Carlos Van Buren (Valparaíso),5101,Valparaíso,Calle,725,San Ignacio ,322204000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.050258,-71.611098,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
06-102,106102,No Aplica,No Aplica,5,Región De Valparaíso,6,Servicio de Salud Valparaíso San Antonio,Perteneciente,Hospital ,Establecimiento de Salud,NO,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),5101,Valparaíso,Calle,S/N,Ibsen,322577310,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.05679,-71.58962,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
06-103,106103,No Aplica,No Aplica,5,Región De Valparaíso,6,Servicio de Salud Valparaíso San Antonio,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Claudio Vicuña ( San Antonio),5601,San Antonio,Calle,945,Carmen Guerrero ,322212244,9133,No Aplica,No Aplica,No Aplica,Sin cambio,-33.588809,-71.608623,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
06-104,106104,No Aplica,No Aplica,5,Región De Valparaíso,6,Servicio de Salud Valparaíso San Antonio,Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Servicio de Salud,Terciario,Hospital Siquíatrico del Salvador ,5101,Valparaíso,Calle,200,Subida Carvallo ,322281012,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.021285,-71.642513,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
06-105,106105,No Aplica,No Aplica,5,Región De Valparaíso,6,Servicio de Salud Valparaíso San Antonio,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San José (Casablanca),5102,Casablanca,Calle,124,Yungay,322577100,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.319197,-71.407904,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
06-213,106213,No Aplica,No Aplica,5,Región De Valparaíso,5,SEREMI De Valparaíso,No Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Gendamería,Pendiente,Complejo Penitenciario,5101,Valparaíso,Calle,665,La Pólvora,322279150,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.066338,-71.632927,Gendarmería,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-100,107100,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Dr. Gustavo Fricke (Viña del Mar),5109,Viña del Mar,Calle,1532,Álvarez,322577571,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.0294,-71.541725,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
07-101,107101,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital San Martín (Quillota),5501,Quillota,Calle,1050,Concepción,332298020,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.87993,-71.257745,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
07-102,107102,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital de Quilpué,5801,Quilpue,Calle,1270,San Martín ,322759010-322759099-322759057,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.051961,-71.433933,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
07-103,107103,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Dr. Mario Sánchez Vergara (La Calera),5502,Calera,Calle,1603,Carrera,332293192,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.7926,-71.204544,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-104,107104,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Santo Tomás (Limache),5802,Limache,Calle,S/N,Carelmapu,332293801,39814,No Aplica,No Aplica,No Aplica,Cambio nivel de atención (16.09.2020),-32.998637,-71.268427,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-105,107105,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San Agustín (La Ligua),5401,La Ligua,Calle,1020,Dr. Víctor Díaz,332293490,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.45048,-71.237975,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-106,107106,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Dr. Víctor Hugo Moll (Cabildo),5402,Cabildo,Calle,S/N,Aníbal Pinto,332293400,39814,No Aplica,No Aplica,No Aplica,Cambio nivel de atención (16.09.2020),-32.428287,-71.067794,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-107,107107,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Petorca,5404,Petorca,Calle,860,Manuel Montt,332293610,39814,No Aplica,No Aplica,No Aplica,Cambio nivel de atención (16.09.2020),-32.251957,-70.928839,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-108,107108,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Adriana Cousiño (Quintero),5107,Quintero,Calle,380,Aránguiz Tudela,322578900,39814,No Aplica,No Aplica,No Aplica,Cambio nivel de atención (16.09.2020),-32.779236,-71.531159,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-109,107109,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),"Hospital Juana Ross de Edwards (Peñablanca, Villa Alemana)",5804,Villa Alemana,Calle,660,Sargento Aldea,322759542,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.037787,-71.356835,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-110,107110,No Aplica,No Aplica,5,Región De Valparaíso,7,Servicio de Salud Viña del Mar Quillota,Perteneciente,Hospital ,Establecimiento de Salud,NO,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Centro Geriátrico Paz de la Tarde (Limache),5802,Limache,Calle,198,Caupolicán,332294801,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.98786,-71.277236,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-210,107210,No Aplica,No Aplica,5,Región De Valparaíso,5,SEREMI De Valparaíso,No Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Privado,Terciario,Sanatorio Marítimo San Juan de Dios,5109,Viña del Mar,Avenida,1355,San Martín,322460220,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.994608,-71.520496,Privado,Vigente en operación ,Pendiente,Atención Abierta-Ambulatoria
07-212,107212,No Aplica,No Aplica,5,Región De Valparaíso,5,SEREMI De Valparaíso,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Privado,Terciario,Hospital Niños y Cunas,5109,Viña del Mar,Calle,1667,Limache,322385000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.028478,-71.540351,Privado,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
07-217,107217,No Aplica,No Aplica,5,Región De Valparaíso,5,SEREMI De Valparaíso,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Fuerzas Armadas y de Orden (FFAA),Terciario,Hospital Naval Almirante Neff,5109,Viña del Mar,Calle,S/N,Subida Alessandri,322573047,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.998382,-71.54382,Fuerzas Armadas y de Orden,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
07-224,107224,No Aplica,No Aplica,5,Región De Valparaíso,5,SEREMI De Valparaíso,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Privado,Terciario,Hospital Clínico Viña del Mar,5109,Viña del Mar,Calle,1741,Limache,322323800,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.029048,-71.539064,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
08-100,108100,No Aplica,No Aplica,5,Región De Valparaíso,8,Servicio de Salud Aconcagua,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital San Camilo de San Felipe,5701,San Felipe,Calle,2085,Miraflores,342493307,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.74977,-70.708992,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
08-101,108101,No Aplica,No Aplica,5,Región De Valparaíso,8,Servicio de Salud Aconcagua,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital San Juan de Dios (Los Andes),5301,Los Andes,Avenida,315,Argentina ,342490300,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.829664,-70.59643,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
08-102,108102,No Aplica,No Aplica,5,Región De Valparaíso,8,Servicio de Salud Aconcagua,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San Francisco (Llaillay),5703,Llaillay,Calle,76,San Francisco,342492800,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.842771,-70.954945,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
08-104,108104,No Aplica,No Aplica,5,Región De Valparaíso,8,Servicio de Salud Aconcagua,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital San Antonio (Putaendo),5705,Putaendo,Avenida,186,Alessandri ,342492700,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.622065,-70.717848,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
08-105,108105,No Aplica,No Aplica,5,Región De Valparaíso,8,Servicio de Salud Aconcagua,Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Servicio de Salud,Terciario,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo),5705,Putaendo,Calle,2500,José Antonio Salinas ,342490600,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-32.619019,-70.688607,Público ,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
09-100,109100,No Aplica,No Aplica,13,Región Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Complejo Hospitalario San José (Santiago, Independencia)",13108,Independencia,Calle,1196,San José ,225680000,29221,No Aplica,No Aplica,No Aplica,Sin cambio,-33.416586,-70.653318,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
09-101,109101,No Aplica,No Aplica,13,Región Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",13108,Independencia,Avenida,1085,Profesor Zañartu ,225758000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.415335,-70.655086,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
09-102,109102,No Aplica,No Aplica,13,Región Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,Perteneciente,Hospital ,Establecimiento de Salud,NO,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Instituto Psiquiátrico Dr. José Horwitz Barak (Santiago, Recoleta)",13127,Recoleta,Avenida,841,La Paz ,225758850,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.422402,-70.650537,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
09-103,109103,No Aplica,No Aplica,13,Región Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,Perteneciente,Hospital ,Establecimiento de Salud,NO,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa (Santiago, Recoleta)",13108,Independencia,Avenida,1010,Profesor Zañartu ,225757100,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.418128,-70.652105,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
09-104,109104,No Aplica,No Aplica,13,Región Metropolitana de Santiago,9,Servicio de Salud Metropolitano Norte,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Til Til,13303,Tiltil,Calle,100,Daniel Moya ,225751700,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.086793,-70.924522,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
09-200,109200,No Aplica,No Aplica,13,Región Metropolitana de Santiago,13,SEREMI Metropolitana de Santiago,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Delegados ,Terciario,Hospital Clínico Universidad de Chile,13108,Independencia,Calle,999,Santos Dumond,229788551,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.420057,-70.653116,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
10-100,110100,No Aplica,No Aplica,13,Región Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,"Hospital San Juan de Dios (Santiago, Santiago)",13101,Santiago,Calle,3255,Huérfanos,225741900,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-33.442394,-70.679188,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
