C_ANT,C_VIG,C_MAD,C_NMAD,C_REG,NOM_REG,C_DEPEND,DEPEN,PERTEN,TIPO,AMBITO,URGENCIA,CERTIFICA,DEPEN_A,NIVEL,NOMBRE,C_COM,NOM_COM,VIA,NUMERO,DIRECCION,FONO,F_INICIO,F_REAPER,SAPU,F_CAMBIO,TIPO_CAMB,LATITUD,LONGITUD,PRESTADOR,ESTADO,NIVEL_COM,MODALIDAD
01-300,101300,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar Víctor Bertín Soto,15101,Arica,Calle,1635,Belén,800500103,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.476844,-70.296028,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-302,101302,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar Dr. Amador Neghme de Arica,15101,Arica,Calle,4149,Cancha Rayada,800500101,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.437655,-70.290806,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-303,101303,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar E. U. Iris Veliz Hume (Ex Oriente),15101,Arica,Avenida,2699,Las Torres,800500102,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.483924,-70.282422,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-304,101304,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar Putre,15201,Putre,Calle,261,Baquedano,582200261,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.197612,-69.557341,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-305,101305,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar Remigio Sapunar,15101,Arica,Calle,1020,Silva Arriagada,582204306,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.480229,-70.308177,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-306,101306,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Servicio de Salud,Primario,Centro de Salud Ambiental de Arica,15101,Arica,Calle,253,San Martín,582583690,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.483419,-70.316845,Público ,Vigente en operación ,No Aplica,Atención Abierta-Ambulatoria
01-307,101307,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte),15101,Arica,Avenida,4752,Linderos Poniente ,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.426894,-70.290549,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-400,101400,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Posta de Salud Rural (PSR),Establecimiento de Salud,NO,NO,Municipal,Primario,Posta de Salud Rural San Miguel de Azapa,15101,Arica,Calle,S/N,"Valle de Azapa, Km. 2",Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.518294,-70.17858,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-401,101401,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Posta de Salud Rural (PSR),Establecimiento de Salud,NO,NO,Municipal,Primario,Posta de Salud Rural Poconchile,15101,Arica,Calle,S/N,"Valle de Lluta, Km. 38",Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.45246,-70.067335,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-402,101402,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Posta de Salud Rural (PSR),Establecimiento de Salud,NO,NO,Municipal,Primario,Posta de Salud Rural Belén (Putre),15201,Putre,Calle,S/N,Caserío de Belén,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.468097,-69.514741,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-404,101404,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Posta de Salud Rural (PSR),Establecimiento de Salud,NO,NO,Municipal,Primario,Posta de Salud Rural Visviri,15202,General Lagos,Calle,S/N,Caserío de Visviri,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-17.594867,-69.480469,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-406,101406,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Posta de Salud Rural (PSR),Establecimiento de Salud,NO,NO,Municipal,Primario,Posta de Salud Rural Codpa,15102,Camarones,Calle,S/N,Caserío de Codpa,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.833227,-69.744859,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-407,101407,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Posta de Salud Rural (PSR),Establecimiento de Salud,NO,NO,Municipal,Primario,Posta de Salud Rural Ticnamar,15201,Putre,Calle,S/N,Caserío de Tignamar,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.581705,-69.494396,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-408,101408,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Posta de Salud Rural (PSR),Establecimiento de Salud,NO,NO,Municipal,Primario,Posta de Salud Rural Sobraya,15101,Arica,Calle,S/N,"Valle de Azapa, Km. 27",Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.574218,-70.055819,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-607,101607,01-010,101010,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro Comunitario de Salud Mental  (COSAM),Establecimiento de Salud,NO,NO,Servicio de Salud,Secundario,COSAM Norte,15101,Arica,Calle,S/N,Llacolen esquina La Proveedora,582204050,39814,No Aplica,No Aplica,43005,Cambio de Nombre,-18.444192,-70.292549,Público ,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
01-608,101608,01-010,101010,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Consultorio de Salud Mental,Establecimiento de Salud,NO,NO,Servicio de Salud,Secundario,ESSMA Sur de Arica,15101,Arica,Calle,630,Benjamín Vicuña Mackenna,582204100,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.481647,-70.312143,Público ,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
01-702,101702,01-307,101307,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro Comunitario de Salud Familiar (CECOSF),Establecimiento de Salud,NO,NO,Municipal,Primario,Centro Comunitario de Salud Familiar Dr. Miguel Massa,15101,Arica,Calle,4241,Francisco Urzúa,Pendiente ,39814,42579,No Aplica,No Aplica,Reapertura con cambio de  Establecimiento Madre,-18.435873,-70.289035,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-703,101703,01-302,101302,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro Comunitario de Salud Familiar (CECOSF),Establecimiento de Salud,NO,NO,Municipal,Primario,Centro Comunitario de Salud Familiar Dr. René García Valenzuela,15101,Arica,Calle,1462,Capitán Ávalos,Pendiente ,39814,42734,No Aplica,No Aplica,Reapertura con cambio de  Dirección,-18.459078,-70.280754,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-704,101704,01-305,101305,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Centro Comunitario de Salud Familiar (CECOSF),Establecimiento de Salud,NO,NO,Municipal,Primario,Centro Comunitario de Salud Familiar Cerro La Cruz,15101,Arica,Calle,1496,Rafael Sotomayor  ,582204370,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.494863,-70.31259,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-010,102010,No Aplica,No Aplica,1,Región De Tarapacá,2,Servicio de Salud Iquique,Perteneciente,Dirección Servicio de Salud,Unidad de Atención,NO,NO,Servicio de Salud,No Aplica,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique),1101,Iquique,Calle,815,Aníbal Pinto,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.215119,-70.152317,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-011,102011,02-010,102010,1,Región De Tarapacá,2,Servicio de Salud Iquique,Perteneciente,Programa de Reparación y Atención Integral de Salud,Programa de Atención ,NO,NO,Servicio de Salud,No Aplica,PRAIS (S.S. Iquique),1101,Iquique,Calle,815,Aníbal Pinto,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.215119,-70.152317,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-030,102030,No Aplica,No Aplica,1,Región De Tarapacá,2,Servicio de Salud Iquique,Perteneciente,Unidad de Salud Funcionarios ,Unidad de Atención,NO,NO,Servicio de Salud,Secundario,Unidad de Salud Funcionario  S.S. Iquique,1101,Iquique,Calle,815,Aníbal Pinto,Pendiente ,44225,No Aplica,No Aplica,No Aplica,Sin cambio,-20.215119,-70.152317,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-200,102200,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Clínica,Establecimiento de Salud,SI,NO,Privado,Terciario,Clínica Iquique,1101,Iquique,Calle,103,Bernardo O'Higgins,572393200,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.2183,-70.15497,Privado,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
02-201,102201,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Clínica,Establecimiento de Salud,SI,NO,Privado,Terciario,Clínica Tarapacá,1101,Iquique,Calle,1550,Barros Arana,572397000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.222771,-70.147578,Privado,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
02-209,102209,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Fuerzas Armadas y de Orden (FFAA),No Aplica,Centro Clínico Militar Iquique,1101,Iquique,Calle,1041,Diego Portales,572518182,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.229515,-70.145039,Fuerzas Armadas y de Orden,Vigente en operación ,Pendiente,Atención Abierta-Ambulatoria
02-213,102213,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro Médico y Dental,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro Médico y Dental Megasalud Iquique,1101,Iquique,Calle,1162,Ramírez,572510540,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.219036,-70.149374,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-216,102216,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Salud Mutual CChC Iquique,1101,Iquique,Calle,769,Orella,572422735,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.220655,-70.148458,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-217,102217,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Fuerzas Armadas y de Orden (FFAA),No Aplica,Policlínico Naval de Iquique,1101,Iquique,Pasaje,1055,Isaza,572517187,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.215357,-70.156666,Fuerzas Armadas y de Orden,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-218,102218,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Fuerzas Armadas y de Orden (FFAA),No Aplica,Policlínico FACH de Iquique,1101,Iquique,Calle,1605,Diego Portales,572792500 - 572792570,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.230142,-70.142908,Fuerzas Armadas y de Orden,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-219,102219,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Fuerzas Armadas y de Orden (FFAA),No Aplica,Policlínico Carabineros de Iquique,1101,Iquique,Calle,1105,Pedro Lagos,572557040,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.216887,-70.155056,Fuerzas Armadas y de Orden,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-220,102220,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Clínica,Establecimiento de Salud,NO,NO,Privado,No Aplica,Clínica Coposa Cía. Minera Doña Inés de Collahuasi,1405,Pica,Calle,S/N,Coposa Hostal Pabellón del Inca,572516621,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.826793,-68.657633,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-221,102221,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Clínica,Establecimiento de Salud,NO,NO,Gendamería,No Aplica,Clínica Establecimiento Penitenciario Alto Hospicio,1107,Alto Hospicio,Calle,S/N,Ruta A16 Km. 6,572512602,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.240813,-70.054424,Gendarmería,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
02-222,102222,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Atención Instituto de Seguridad del Trabajador Iquique,1101,Iquique,Calle,261,Patricio Lynch,572425667,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.211755,-70.151337,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-223,102223,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Policlínico del Trabajador AChS Iquique,1101,Iquique,Calle,1517,Amunategui,572402914,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.222856,-70.147043,Privado,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-224,102224,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Vacunatorio,Establecimiento de Salud,NO,NO,Privado,No Aplica,Vacunatorio Sonrisa Infantil,1101,Iquique,Calle,1011,Aníbal Pinto,572420708,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.217454,-70.153063,Privado,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-225,102225,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro Médico y Dental,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro Médico y Dental Megasalud Alto Hospicio,1107,Alto Hospicio,Calle,3058,Chaca,572361245,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.269688,-70.101897,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-227,102227,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Salud Universidad Arturo Prat,1101,Iquique,Avenida,2120,Arturo Prat,572394745,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.244035,-70.140576,Privado,Vigente en operación ,Pendiente,Atención Abierta-Ambulatoria
02-232,102232,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Diálisis,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Diálisis Medicen,1101,Iquique,Avenida,1934,Tadeo Haenke,572322175,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.239038,-70.141015,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-233,102233,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Diálisis,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Diálisis Iquique,1101,Iquique,Calle,1677,Orella,572422242,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.221153,-70.139852,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-234,102234,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Diálisis,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Diálisis Corporación Paúl Harris,1101,Iquique,Calle,2110,Armada de Chile,572431880,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.239331,-70.138145,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-240,102240,No Aplica,No Aplica,1,Región De Tarapacá,1,SEREMI De Tarapacá,No Perteneciente,Centro de Diálisis,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Diálisis la Tirana,1101,Iquique,Avenida,3095,La Tirana,572447964,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.246322,-70.128497,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
02-300,102300,No Aplica,No Aplica,1,Región De Tarapacá,2,Servicio de Salud Iquique,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar Cirujano Aguirre,1101,Iquique,Pasaje,S/N,3 Pintados,800500105,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.226259,-70.134664,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
02-301,102301,No Aplica,No Aplica,1,Región De Tarapacá,2,Servicio de Salud Iquique,Perteneciente,Centro de Salud Familiar (CESFAM),Establecimiento de Salud,NO,Centro de Salud Familiar,Municipal,Primario,Centro de Salud Familiar Cirujano Videla,1101,Iquique,Calle,S/N,Obispo Labbé,800500107,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.208263,-70.15017,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
